-----------------------------------------------------------------------------------------------------
21日00时14分15秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日00时15分41秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日11时58分56秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日11时58分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日12时02分07秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时02分19秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时02分19秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时02分19秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时02分54秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时02分55秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时02分55秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时03分45秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分07秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时04分07秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分10秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分10秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分10秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分12秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分12秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分13秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时04分20秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时04分20秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时04分20秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时04分37秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时04分47秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时04分48秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时04分48秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时05分19秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分19秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分29秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分31秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分31秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分31秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分48秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分49秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时06分49秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时07分00秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时08分18秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时08分21秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时09分34秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时09分36秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时09分36秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时09分36秒Info:System');"成功[BP.WF.Template.Selector-381]放入缓存。
21日12时10分00秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分05秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分05秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分05秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分06秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分07秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分07秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分33秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时10分33秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时10分33秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时10分41秒Info:System');"成功[BP.Sys.ToolbarExcel-529]放入缓存。
21日12时10分42秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时10分42秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时10分48秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时10分48秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时10分48秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日12时10分48秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时10分48秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日12时11分06秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日12时15分00秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时15分00秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时15分00秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日12时15分00秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时15分00秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日12时15分07秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日12时17分47秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时18分14秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时18分14秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时18分14秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日12时18分14秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时18分14秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日12时18分26秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日12时22分23秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时22分23秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时22分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日12时22分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日12时22分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日12时23分59秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日12时24分28秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日12时24分28秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日12时24分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=755        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1801')) AS X ) AND FK_MapData='ND1801',异常信息:列名 'GroupID' 无效。
21日12时24分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=756        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1802')) AS X ) AND FK_MapData='ND1802',异常信息:列名 'GroupID' 无效。
21日12时24分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=757        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1803')) AS X ) AND FK_MapData='ND1803',异常信息:列名 'GroupID' 无效。
21日12时24分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1442        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1804')) AS X ) AND FK_MapData='ND1804',异常信息:列名 'GroupID' 无效。
21日12时24分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1444        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1899')) AS X ) AND FK_MapData='ND1899',异常信息:列名 'GroupID' 无效。
21日12时25分31秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
-----------------------------------------------------------------------------------------------------
21日14时30分27秒Info:System');"----------------------------------  start ------------------ 
21日14时30分27秒Info:System');"----------------------------------  end ------------------ 
21日14时30分27秒Info:System');"----------------------------------  start ------------------ 
21日14时30分27秒Info:System');"----------------------------------  end ------------------ 
21日14时31分17秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日14时33分57秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日14时35分11秒Info:System');"成功[BP.Sys.ToolbarExcel-532]放入缓存。
21日14时35分13秒Info:System');"成功[BP.Sys.ToolbarExcel-532]放入缓存。
21日14时35分13秒Info:System');"成功[BP.Sys.ToolbarExcel-532]放入缓存。
21日14时35分13秒Info:System');"成功[BP.Sys.ToolbarExcel-532]放入缓存。
21日14时35分43秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日14时35分44秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日14时35分44秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日14时35分54秒Info:System');"成功[BP.Sys.ToolbarExcel-532]放入缓存。
21日14时35分58秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日14时35分58秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日14时35分59秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日14时35分59秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日14时35分59秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日14时35分59秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1450        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17204')) AS X ) AND FK_MapData='ND17204',异常信息:列名 'GroupID' 无效。
21日14时36分56秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1452        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17204')) AS X ) AND FK_MapData='ND17204',异常信息:列名 'GroupID' 无效。
21日14时36分56秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1452        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17204')) AS X ) AND FK_MapData='ND17204',异常信息:列名 'GroupID' 无效。
21日14时37分11秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日14时37分11秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日14时37分11秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1422        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17201')) AS X ) AND FK_MapData='ND17201',异常信息:列名 'GroupID' 无效。
21日14时37分11秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1430        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17202')) AS X ) AND FK_MapData='ND17202',异常信息:列名 'GroupID' 无效。
21日14时37分11秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1438        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17203')) AS X ) AND FK_MapData='ND17203',异常信息:列名 'GroupID' 无效。
21日14时37分11秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1452        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17204')) AS X ) AND FK_MapData='ND17204',异常信息:列名 'GroupID' 无效。
21日14时37分28秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日14时38分32秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日15时01分23秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时01分23秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时01分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=755        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1801')) AS X ) AND FK_MapData='ND1801',异常信息:列名 'GroupID' 无效。
21日15时01分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=756        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1802')) AS X ) AND FK_MapData='ND1802',异常信息:列名 'GroupID' 无效。
21日15时01分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=757        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1803')) AS X ) AND FK_MapData='ND1803',异常信息:列名 'GroupID' 无效。
21日15时01分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1442        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1804')) AS X ) AND FK_MapData='ND1804',异常信息:列名 'GroupID' 无效。
21日15时01分23秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1444        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1899')) AS X ) AND FK_MapData='ND1899',异常信息:列名 'GroupID' 无效。
21日15时02分24秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日15时03分37秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日15时05分57秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时05分57秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时05分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=755        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1801')) AS X ) AND FK_MapData='ND1801',异常信息:列名 'GroupID' 无效。
21日15时05分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=756        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1802')) AS X ) AND FK_MapData='ND1802',异常信息:列名 'GroupID' 无效。
21日15时05分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=757        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1803')) AS X ) AND FK_MapData='ND1803',异常信息:列名 'GroupID' 无效。
21日15时05分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1442        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1804')) AS X ) AND FK_MapData='ND1804',异常信息:列名 'GroupID' 无效。
21日15时05分57秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1444        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND1899')) AS X ) AND FK_MapData='ND1899',异常信息:列名 'GroupID' 无效。
21日15时24分21秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日15时24分37秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时24分37秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时24分37秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=775        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13701')) AS X ) AND FK_MapData='ND13701',异常信息:列名 'GroupID' 无效。
21日15时24分37秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1458        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13702')) AS X ) AND FK_MapData='ND13702',异常信息:列名 'GroupID' 无效。
